chef,chefLabel,birthDate,birthPlaceLabel,genderLabel,awardLabel
http://www.wikidata.org/entity/Q587303,Pascal Barbot,1972-06-07T00:00:00Z,Vichy,masculin,
http://www.wikidata.org/entity/Q3368895,Patrice Caillault,1954-04-13T00:00:00Z,Saint-Ouen-les-Vignes,masculin,
http://www.wikidata.org/entity/Q2965638,Christian Sinicropi,1971-09-13T00:00:00Z,Cannes,masculin,
http://www.wikidata.org/entity/Q2918534,Daniel Boulud,1955-03-25T00:00:00Z,Saint-Pierre-de-Chandieu,masculin,
http://www.wikidata.org/entity/Q3106276,Gilles Goujon,1961-12-10T00:00:00Z,Bourges,masculin,
http://www.wikidata.org/entity/Q980463,Jean-Georges Klein,1950-10-27T00:00:00Z,Ingwiller,masculin,
http://www.wikidata.org/entity/Q2895081,Albert Roux,1935-10-08T00:00:00Z,Semur-en-Brionnais,masculin,
http://www.wikidata.org/entity/Q3310824,Michel Sarran,1961-04-18T00:00:00Z,Nogaro,masculin,
http://www.wikidata.org/entity/Q3169948,Jean-Robert Laloy,1932-09-20T00:00:00Z,Chalon-sur-Saône,masculin,
http://www.wikidata.org/entity/Q2863148,Arnaud Lallement,1974-06-28T00:00:00Z,Reims,masculin,
http://www.wikidata.org/entity/Q2272017,Éric Ripert,1965-03-02T00:00:00Z,Antibes,masculin,
http://www.wikidata.org/entity/Q8334411,Éric Pras,1972-03-01T00:00:00Z,Roanne,masculin,
http://www.wikidata.org/entity/Q2912099,Olivier Roellinger,1955-09-14T00:00:00Z,Cancale,masculin,
http://www.wikidata.org/entity/Q1225410,Marc Veyrat,1950-05-08T00:00:00Z,Annecy,masculin,
http://www.wikidata.org/entity/Q1396289,Fernand Point,1897-02-25T00:00:00Z,Louhans,masculin,
http://www.wikidata.org/entity/Q1805539,Marc Meneau,1943-03-16T00:00:00Z,Avallon,masculin,
http://www.wikidata.org/entity/Q3167241,Jean-Luc Rabanel,1964-01-14T00:00:00Z,Villeneuve-sur-Lot,masculin,
